winner_name,winner_rank,loser_name,loser_rank,player-name,prev-rank
Soren Hess Olesen,,Mehdi Jdi,1252,,
Blaz Kavcic,171,Lucas Catarina,885,,
Grega Zemlja,151,Romain Arneodo,954,,
Grega Zemlja,151,Lucas Catarina,885,,
Thomas Oger,,Tilen Zitnik,1654,,
Casper Ruud,217,Martins Podzus,860,,
Viktor Durasovic,630,Mikelis Libietis,380,,
Simen Sunde Bratholm,1376,Rudolfs Mednis,1544,,
Viktor Durasovic,630,Arturs Lazdins,1469,,
Malek Jaziri,51,Isak Arvidsson,569,,
Patrik Rosenholm,531,Mohamed Aziz Dougaz,,,
Malek Jaziri,51,Patrik Rosenholm,531,,
Isak Arvidsson,569,Mohamed Aziz Dougaz,,,
Cem Ilkel,354,Petros Chrysochos,1365,,
Marsel Ilhan,238,Menelaos Efstathiou,1505,,
Marsel Ilhan,238,Petros Chrysochos,1365,,
Altug Celikbilek,532,Nicholas Campbell,,,
Paolo Lorenzi,43,Guido Pella,84,,
Andreas Seppi,68,Carlos Berlocq,81,,
Carlos Berlocq,81,Paolo Lorenzi,43,,
Fabio Fognini,48,Guido Pella,84,,
Steve Darcis,58,Philipp Kohlschreiber,29,,
Alexander Zverev,22,Arthur De Greef,143,,
Steve Darcis,58,Alexander Zverev,22,,
Ruben Bemelmans,141,Mischa Zverev,35,,
Daniel Evans,45,Denis Shapovalov,234,,
Vasek Pospisil,133,Kyle Edmund,47,,
Vasek Pospisil,133,Daniel Evans,45,,
Kyle Edmund,47,Denis Shapovalov,234,,
Jordan Thompson,65,Jiri Vesely,54,,
Nick Kyrgios,15,Jan Satral,157,,
Jiri Vesely,54,Samuel Groth,182,,
Jordan Thompson,65,Jan Satral,157,,
Franco Skugor,223,Pablo Carreno Busta,26,,
Roberto Bautista Agut,16,Ante Pavic,486,,
Roberto Bautista Agut,16,Franco Skugor,223,,
Pablo Carreno Busta,26,Nikola Mektic,319,,
Richard Gasquet,18,Taro Daniel,114,,
Gilles Simon,24,Yoshihito Nishioka,85,,
Nicolas Mahut,42,Yoshihito Nishioka,85,,
Yasutaka Uchiyama,230,Pierre Hugues Herbert,101,,
Viktor Troicki,37,Karen Khachanov,52,,
Novak Djokovic,2,Daniil Medvedev,63,,
Daniil Medvedev,63,Nenad Zimonjic,,,
Jack Sock,20,Marco Chiudinelli,146,,
John Isner,23,Henri Laaksonen,127,,
Sam Querrey,27,Adrien Bossel,485,,
Steve Johnson,31,Antoine Bellier,598,,
